MTurk ID,Gender,Age range,Is English your native language?,What language(s) did you learn before the age of 5?,puckering,whistling,whispering,remarking,jogging,articulating,eating,talking,singing,stepping,grinning,dancing,lecturing,reciting,bantering,commenting,chatting,trotting,mumbling,strutting,strolling,running,parading,stomping,speaking,humming,walking,cheering,licking,muttering,hiking,gossiping,skipping,telling,biting,smirking,conversing,sprinting,kicking,arguing,galloping,babbling,striding,shouting,discussing,yelling,punting,hopping,coughing,marching,pacing,debating,frowning,screaming,hollering,saying,tasting,chewing,smiling,mentioning,murmuring,uttering,"Was there anything unusual in the survey that you noticed? If so, / please explain below. "
A1J98D0GPAKZN4,M,20-29,Y,"English, Turkish",4,2,3,1,3,6,2,2,3,2,2,3,3,1,4,4,3,4,2,6,2,1,2,3,3,1,1,2,4,3,2,4,2,2,2,3,2,2,2,2,4,6,5,1,2,3,3,2,4,2,1,3,1,2,2,2,2,3,3,2,4,6,Nothing
A2R02DYCDLY75U,F,30-39,Y,English,1,1,2,2,7,2,2,2,3,6,1,7,2,2,2,2,2,6,1,4,5,7,4,3,2,1,4,3,1,2,7,2,4,2,3,1,2,7,4,4,7,2,5,3,2,3,4,5,4,4,6,3,1,3,3,2,1,2,1,2,2,1,I really didn't notice anything unusual.
AB1X97ASE626Q,M,30-39,Y,english,3,1,1,2,6,2,3,2,4,4,2,6,3,2,3,1,2,5,1,4,4,6,5,4,2,2,3,5,1,1,6,2,5,2,3,1,2,7,4,4,6,2,4,4,2,4,5,5,4,5,4,3,2,6,4,2,2,3,2,2,1,2,no
A3N3NSTEAB5S2K,M,20-29,Y,English,2,3,1,1,6,1,1,2,3,5,2,7,3,2,2,2,2,4,1,4,4,7,4,6,2,1,5,2,2,2,6,1,4,1,2,1,2,7,7,3,5,2,6,2,2,3,6,6,3,4,3,2,2,3,3,2,1,2,2,1,1,1,
A2Z0V2A4SP5QE0,F,20-29,N,"TAMIL, ENGLISH",2,2,1,2,3,5,3,5,4,4,2,7,2,1,1,6,7,1,2,2,1,7,2,1,5,4,7,2,2,3,1,3,2,5,2,2,4,1,1,1,2,1,2,5,7,1,1,5,2,2,1,3,1,1,2,4,7,3,3,7,1,1,
A3T3K88IYZ9H8K,M,30-39,Y,"English, Spanish",2,2,1,2,5,3,2,3,4,5,3,5,3,3,3,2,2,4,1,3,4,6,5,5,2,2,5,4,2,1,6,3,5,3,3,2,3,7,6,3,5,2,5,5,2,3,4,6,4,5,5,3,3,5,4,2,2,3,1,2,2,1,No. 
AKLV0WIZZ356X,F,30-39,Y,English,2,3,3,3,7,4,3,3,4,4,4,5,5,3,5,3,2,4,3,4,3,7,6,6,3,3,4,4,3,3,6,4,5,3,3,3,3,7,5,5,6,3,4,6,3,6,5,5,4,5,4,5,4,6,6,3,3,3,3,3,3,3,nothing
A38DC3BG1ZCVZ2,F,20-29,Y,English,4,3,3,4,7,4,4,4,3,6,4,7,4,5,6,6,4,2,4,6,6,7,5,7,4,4,7,7,4,5,7,5,7,6,4,3,4,7,7,7,7,4,7,7,4,7,6,7,4,7,7,6,4,7,6,5,4,3,3,6,4,4,
A3P74FP62XNVYI,M,50-59,Y,English,1,1,1,1,6,2,2,1,2,4,1,5,2,2,1,1,1,6,2,3,5,7,5,6,1,1,4,3,1,1,,1,4,1,3,1,1,7,6,3,7,1,,6,1,3,6,5,3,5,4,3,1,6,4,1,1,2,1,1,1,2,No
ASB8T0H7L99RF ,M,20-29,Y,English,2,2,2,2,6,2,2,2,2,3,2,5,2,2,2,2,2,6,2,3,3,7,4,5,2,2,3,3,2,2,5,2,4,2,2,2,2,6,5,4,6,2,3,3,3,3,5,6,2,3,4,3,2,3,3,2,2,2,2,2,2,2,No
3,M,30-39,Y,English,1,1,1,1,7,2,1,1,1,4,1,5,1,1,1,1,1,6,1,3,3,7,3,3,2,1,4,3,1,1,7,1,4,1,1,1,1,7,4,2,6,1,3,2,1,3,3,4,2,5,3,2,1,2,3,1,1,1,1,1,1,1,
ADQKTG5B8ZW1G,F,30-39,Y,English,2,2,1,2,7,2,3,2,3,3,3,5,3,2,2,2,2,3,1,3,4,7,3,3,2,2,5,2,2,1,4,2,5,2,3,2,2,7,4,4,5,1,4,4,3,4,4,5,4,4,4,4,3,4,4,2,2,2,3,2,1,1,I thought it interesting that some of the different words seemed very similar in meaning.
