MTurk ID,Gender,Age Range,Is English your native language?,What language(s) did you learn before the age of 5?,whispering,remarking,articulating,talking,singing,lecturing,reciting,bantering,commenting,chatting,mumbling,speaking,humming,cheering,muttering,gossiping,telling,conversing,arguing,babbling,shouting,discussing,yelling,debating,screaming,hollering,saying,mentioning,murmuring,uttering,"Was there anything unusual in the survey that you noticed? If so, / please explain below. ", 
A2GT5ZE485F7AO,M,30-39,Y,English,1,3,3,4,,3,3,3,3,3,2,3,2,4,2,3,2,3,4,2,,3,5,3,5,5,3,3,2,2,Nothing,
A2A1D52ZPSW6L9,M,20-29,Y,English,1,4,5,4,6,5,4,5,4,4,1,4,2,7,1,4,4,4,5,5,7,5,7,5,7,7,4,4,1,5,Nothing unusual.,
A63759KWVJ94F,F,20-29,Y,English,1,4,5,4,6,6,5,5,4,4,2,4,5,7,2,4,5,4,7,4,7,4,7,4,7,7,4,4,2,3,no,
AM2WGEJDWJY1I,M,50-59,Y,English,1,4,4,4,5,5,4,5,4,4,2,4,2,6,3,4,4,4,6,4,6,4,6,5,7,6,4,4,3,3,No,
A3DDENUJ8YZKAL,M,40-49,Y,English,1,4,4,4,6,5,5,4,4,3,2,4,3,6,2,3,4,4,5,4,7,4,7,5,7,7,4,4,1,3,,
A33CTOV2RIEXLP,M,30-39,Y,English,1,3,3,3,6,5,5,3,3,4,2,4,3,7,2,2,3,3,6,5,7,3,7,6,7,7,3,3,2,3,I noticed nothing unusual in the survey.,
A2D2XQP00IZFR1,M,60 or older,Y,English,1,3,4,3,5,5,5,4,3,3,2,4,5,7,2,4,4,4,6,4,7,4,7,5,7,7,3,4,2,3,no,
A3FFAWIZENG1FG,M,20-29,Y,English,1,4,5,5,7,4,3,7,5,5,3,5,2,7,5,2,4,5,6,4,7,5,7,6,7,6,4,4,3,5,Nothing unusual.,
1,M,30-39,Y,,2,3,3,3,5,5,4,5,3,4,2,3,3,6,2,3,5,4,4,2,6,3,7,2,6,5,4,4,2,3,No.,
A3J2UG22S8BIW4,M,20-29,Y,English,1,5,5,5,5,5,5,4,4,4,2,4,3,6,2,3,4,4,6,3,7,5,7,5,7,6,5,4,1,4,No,
A3TBA7X9EF16W6,F,30-39,Y,English,1,3,3,3,5,4,4,5,3,3,2,3,1,6,2,1,3,3,7,3,7,3,7,5,7,7,3,3,2,2,Nothing was unusual.,
AYKZ9H4BNW810,M,20-29,Y,English,2,4,1,4,4,5,3,4,4,5,1,4,3,6,1,3,4,4,6,3,6,3,7,5,7,6,4,4,2,3,,
A1GTYHV8OYQQLV,M,60 or older,Y,English,1,3,3,5,4,4,3,5,4,3,2,4,2,6,2,4,4,4,6,2,7,5,7,5,7,7,3,3,1,3,no,
A1BNR1ZAF1QGWG,M,30-39,Y,english,1,3,3,4,6,5,5,5,4,4,2,5,3,6,2,2,4,4,6,4,7,4,7,5,7,6,4,4,2,3,everything was easy to understand,
A1SQ385J95FIOQ,F,30-39,Y,English,1,3,4,3,5,4,4,3,3,2,1,3,2,6,1,3,2,4,5,3,7,4,6,5,7,7,3,3,1,1,Nothing unusual.,
AQREOQAVITTZX,M,40-49,Y,English,1,4,4,4,5,4,5,4,4,4,1,4,2,6,1,3,4,4,6,2,7,4,7,5,7,7,4,4,1,3,"No, everything was fine",
A14SNQOYGXPZ7K,M,30-39,Y,English,1,4,4,4,4,5,5,5,4,5,3,4,3,5,3,5,4,4,6,5,7,4,7,5,7,7,4,4,2,4,No,
A2HHKBW8HQWI66,M,40-49,Y,English,1,4,4,4,6,5,5,5,4,4,2,4,3,7,2,3,4,4,5,4,7,4,7,5,7,7,4,3,1,5,Not that I could tell,
AELOYBHVZFDW9,M,50-59,Y,english,1,2,2,2,4,2,3,3,2,2,1,2,2,5,,2,2,2,3,2,6,2,6,3,7,6,2,2,1,2,no,
A3D2U4QF7821ZW,M,20-29,Y,English,1,4,3,4,5,6,2,5,4,5,1,4,1,6,1,2,4,3,5,3,7,3,7,5,7,7,4,3,1,2,I didn't notice anything unusual.,
A2131NUJ7Y8NGZ,F,20-29,Y,English,1,4,4,4,4,4,3,5,4,4,2,4,3,6,2,3,4,4,5,4,7,4,6,4,7,7,4,3,2,2,"Not really - just all different ways of using ""saying,"" ""said,"" etc.",
A21Y22J7Q0KSGN,M,30-39,Y,English,1,4,4,4,6,5,4,4,4,4,2,4,2,7,2,4,4,4,6,5,7,4,7,5,7,7,4,4,1,4,Nothing that I noticed.,
AHJQDF8PAHVDP,F,30-40,Y,English,3,6,5,4,5,6,4,5,4,4,1,4,3,4,5,2,6,6,3,4,2,3,4,5,5,6,5,5,5,2,No,
A19R04IXWA4ZLX,M,30-41,Y,English,1,3,5,4,5,5,4,4,5,4,1,4,3,5,4,4,5,4,6,4,7,4,7,4,7,7,5,3,2,4,,
A3P74FP62XNVYI,M,50-59,Y,English,1,2,2,2,4,2,2,1,2,2,2,2,2,6,2,2,2,2,3,2,6,2,6,3,6,6,2,2,2,3,,
A34FJBQDKVH8SR,M,40-49,Y, English,1,4,2,4,7,5,3,5,3,4,1,4,3,6,2,3,4,4,5,3,7,2,7,4,7,7,4,4,2,3,no,
AO7FM98CP90CL,F,20-29,Y,,1,5,2,4,5,4,5,5,4,4,1,4,2,6,2,3,4,4,6,5,6,4,7,6,7,6,4,3,1,3,NO,
A3862RIFFUV141,M,40-49,Y,English,1,3,3,3,7,5,5,5,3,4,1,4,2,7,1,5,3,3,7,4,7,3,7,5,7,7,3,2,1,5,No it seemed very straightforward to me.,
A27LGC4MU1R7PQ,M,20-29,Y,English,1,4,4,4,5,5,4,5,4,4,2,4,3,7,2,3,4,4,6,5,7,4,7,5,7,7,4,4,1,4,n/a,
A167SYXGXFU7C8,F,50-59,Y,English,1,5,5,4,6,7,6,5,4,4,3,5,2,7,3,4,4,5,7,4,7,4,7,6,7,7,4,4,3,4,"I do no think so...i think you asked about the term ""muttering"" twice, but that is all i noticed.",
A1VZSFHTU51JP0,M,30-39,Y,English ,1,4,4,4,7,5,4,5,4,4,1,4,2,7,3,3,5,4,7,5,7,4,7,6,7,7,4,4,2,5,"No, nothing seemed unusual. ",
A2Z11BHUBDVKMB,F,30-40,Y,English,1,4,6,4,6,5,6,5,5,5,3,5,3,7,3,3,5,4,6,5,7,4,7,5,7,7,4,3,3,4,nothing unusual,
A22051NK9RQ4FV,F,30-41,Y,English,2,4,5,5,5,5,5,5,5,5,2,5,2,7,3,5,4,4,7,3,7,5,7,6,7,7,4,4,2,3,nothing,
A1650FELH3UL2F,M,20-29,Y,English,1,4,4,4,6,6,5,5,4,4,1,4,1,6,2,3,4,4,5,4,7,4,7,4,7,7,4,4,2,2,"No, I didn't notice anything unusual.",
ASH55LLJVVBOZ,F,30-39,Y,English,1,4,4,4,5,5,4,5,4,4,2,4,3,7,2,3,4,4,6,4,7,4,7,5,7,7,4,4,2,4,Not that I noticed.,
A359ETX78LN74M,F,20-29,Y,just English,1,3,4,4,5,5,4,5,4,4,2,4,3,6,2,3,4,4,6,3,7,4,7,4,7,7,4,3,1,2,no,
A1NBWN2R17EFEX,F,20-29,Y,English,2,5,4,5,5,5,5,4,4,4,4,4,4,6,3,4,4,5,5,5,6,4,6,4,6,5,4,4,2,4,,
A1Q2Y8OZT0TJ2S,F,30-39,Y,English,1,4,5,3,6,5,5,6,4,4,2,4,3,7,2,2,5,3,7,4,7,4,7,5,7,7,4,3,1,3,no,
A3HNEYFOIJWPH1,M,30-39,Y,English,1,3,3,3,5,3,3,3,3,3,2,3,2,5,2,3,3,4,5,3,6,3,5,4,6,5,3,3,2,4,Nope,
